time,F1_ORIGINAL
7289.02,85.9632
7289.12,66.4624
7289.22,46.8391
7289.32,27.1067
7289.42,7.27878
7289.52,0
7289.62,0
7289.72,0
7289.82,0
7289.92,0
7290.02,0
7290.12,0
7290.22,0
7290.32,0
7290.42,0
7290.52,0
7290.62,0
7290.72,0
7290.82,0
7290.92,0
7291.02,0
7291.12,0
7291.22,0
7291.32,0
7291.42,0
7291.52,0
7291.62,0
7291.72,0
7291.82,0
7291.92,0
7292.02,0
7292.12,0
7292.22,0
7292.32,0
7292.42,0
7292.52,0
7292.62,0
7292.72,0
7292.82,0
7292.92,0
7293.02,0
7293.12,0
7293.22,0
7293.32,0
7293.42,0
7293.52,0
7293.62,0
7293.72,0
7293.82,0
7293.92,0
7294.02,0
7294.12,0
7294.22,0
7294.32,0
7294.42,0
7294.52,0
7294.62,0
7294.72,0
7294.82,0
7294.92,0
7295.02,0
7295.12,0
7295.22,0
7295.32,0
7295.42,0
7295.52,0
7295.62,0
7295.72,0
7295.82,0
7295.92,0
7296.02,0
7296.12,0
7296.22,0
7296.32,0
7296.42,0
7296.52,0
7296.62,0
7296.72,0
7296.82,0
7296.92,0
7297.02,0
7297.12,0
7297.22,0
7297.32,0
7297.42,0
7297.52,0
7297.62,0
7297.72,0
7297.82,0
7297.92,0
7298.02,0
7298.12,0
7298.22,0
7298.32,0
7298.42,0
7298.52,0
7298.62,0
7298.72,0
7298.82,0
7298.92,0
7299.02,0
7299.12,0
7299.22,0
7299.32,0
7299.42,0
7299.52,0
7299.62,0
7299.72,0
7299.82,0
7299.92,0
7300.02,0
7300.12,0
7300.22,0
7300.32,0
7300.42,0
7300.52,0
7300.62,0
7300.72,0
7300.82,0
7300.92,0
7301.02,0
7301.12,0
7301.22,0
7301.32,0
7301.42,0
7301.52,0
7301.62,0
7301.72,0
7301.82,0
7301.92,0
7302.02,0
7302.12,0
7302.22,0
7302.32,0
7302.42,0
7302.52,0
7302.62,5.3725
7302.72,25.6546
7302.82,45.8381
7302.92,65.9091
7303.02,83.5269
7303.12,102.795
7303.22,121.914
7303.32,140.87
